,Location,Nationality,Job_Category,Employment_Type,Gender,Years_Of_Experience,Minimum_Education,Job_Title
300,West Zone,National,Business,Full Time,Male,2.0,BA,Position Title: SCOPE staff (Import & Registration)
301,West Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Food Distribution Facilitators
302,West Zone,National,Business,Full Time,Female,1.5,BA,Position Title: Nutrition (BSFP) Facilitator
303,West Zone,National,Business,Full Time,Male,4.0,BA,Position Title: District CBT Supervisor
304,West Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Data Assistant
305,West Zone,National,Business,Full Time,Any,2.0,BA,Position Title: Cash Distributer / Community Mobilizer
306,West Zone,National,Business,Full Time,Male,3.0,BA,Position Title: MEAL Officer
307,West Zone,National,Health,Full Time,Female,3.0,MD,Position Title: Female MD
308,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Sales/Marketing Officer
309,Kabul City,National,Business,Full Time,Male,3.0,BA,Position Title: Communication Officer
310,South Zone,National,Business,Full Time,Male,1.5,BA,Position Title: CSO (Re Announced)
311,Kabul City,National,Business,Full Time,Male,5.0,BA,Position Title: Admin/Finance Officer
312,Kabul City,National,Health,Full Time,Male,5.0,BA,Position Title: ARCS-QRCS Joint Health coordinator
313,Kabul City,National,Business,Full Time,Female,5.0,MA,Position Title: Project Manager (Re Announced) (Re Announced)
314,Kabul Zone,National,Education,Full Time,Male,1.0,MD,Position Title: Clinick Doctor 
315,West Zone,National,Health,Full Time,Male,3.0,BA,Position Title:  Clinick Doctor
316,West Zone,National,Health,Full Time,Male,2.0,BA,Position Title: Vaccinator-PD13 (Re Announced)
317,North-Zone,National,Agriculture,Full Time,Any,3.0,BA,Position Title: Agribusiness Marketing Officer
318,South Zone,National,Business,Full Time,Male,1.0,BA,Position Title: teller (Re Announced)
319,North-Zone,National,Health,Full Time,Any,3.0,MD,Position Title: Dentist(MD)
320,North-Zone,National,Business,Full Time,Any,1.5,BA,Position Title: Cash out/ Food Distributer
321,Kabul City,National,Health,Full Time,Any,2.5,BA,Position Title: EPI Assistant
322,West Zone,National,Health,Full Time,Female,1.0,BA,Position Title:  Nutritional Consultant 
323,Kabul City,National,Others,Full Time,Any,7.0,BA,Position Title: Event Manager
324,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: IFC/World Bank Group Certified Trainer
325,West Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Supply Chain Officer (Procurement)
326,North-Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Senior Project Officer
327,West Zone,National,Business,Full Time,Any,3.0,HS,Position Title: Support Services Assistant for HDP filed camp
328,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Safeguarding Coordinator
329,South Zone,National,Business,Full Time,Female,4.0,VD,Position Title: REACH Senior Field Officer
330,West Zone,National,Business,Full Time,Any,2.0,BA,"Position Title: Monitoring, Evaluation, Accountability, and Learning Officer (MEAL Officer)"
331,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Data Management Specialist
332,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Data Quality Control Officer
333,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: Data Quality Controllers (DQCs)
334,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Project Officer
335,East Zone,National,Business,Full Time,Any,0.0,BA,Position Title: Administration and Finance Intern
336,Kabul City,National,Business,Full Time,Any,1.5,BA,Position Title: Risk Education Assistant “Administration” (Female only)
337,Kabul City,National,Business,Full Time,Any,0.0,BA,Position Title: Risk Education Assistant “Administration” (Female only)
338,East Zone,National,Health,Full Time,Female,1.0,HS,Position Title: Female Cleaner
339,South Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Monitoring and Evaluation (M&E) Officer
340,North-Zone,National,Education,Full Time,Any,5.0,BA,Position Title: Project Coordinator ECPP
341,South Zone,National,Others,Full Time,Any,0.0,BA,Position Title: Data Entry Intern
342,Kabul City,National,Business,Full Time,Any,2.0,HS,Position Title: Cook
343,South Zone,National,Business,Full Time,Any,0.0,BA,Position Title: Administration and Finance Intern
344,South Zone,National,Business,Full Time,Any,2.0,BA,"Position Title: Finance Assistant ""Zabul"" (Re Announced)"
345,West Zone,National,Others,Full Time,Any,0.0,BA,Position Title: Administration and Finance Intern
346,West Zone,National,Health,Full Time,Male,3.0,BA,Position Title: Clinick Doctor 
347,Central Highlands,National,Engineering,Full Time,Male,3.0,BA,Position Title: Water Supply Engineer  (Subject to donor fund)
348,Kabul City,National,Business,Full Time,Male,6.0,MA,Position Title: Finance Manager
349,West Zone,National,Health,Full Time,Male,2.0,BA,Position Title:  MHPSS
350,Kabul City,National,Security,Full Time,Any,4.0,MA,"Position Title: Safety, Security and Access Manager"
351,Kabul City,National,Business,Full Time,Any,0.0,BA,Position Title: Call for CV of fresh Economics and BBA graduates to be hired in different units of the Bank (Re Announced)
352,Kabul City,National,Health,Full Time,Any,2.0,BA,"Position Title: OB/GYN Specialists, pediatrician Specialists, Midwife, Nurses"
353,North-Zone,National,Health,Full Time,Any,3.0,BA,Position Title: HR Assistant
354,Kabul City,National,Business,Full Time,Female,3.0,BA,Position Title: Finance Manager
355,North-Zone,National,Health,Full Time,Any,3.0,BA,Position Title: Finance Officer
356,North-Zone,National,Health,Full Time,Any,3.0,MD,Position Title: Master Trainer
357,West Zone,National,Business,Full Time,Male,4.0,BA,Position Title: Finance Officer
358,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Data Management & Analytics Manager
359,West Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Hygiene Promotors
360,Kabul City,National,Health,Full Time,Male,5.0,MD,Position Title: Health Coordinator
361,Kabul Zone,National,Security,Full Time,Any,4.0,,Position Title: Guard
362,Kabul Zone,National,Business,Full Time,Any,4.0,,Position Title: Cook/Cleaner
363,North-Zone,National,Health,Full Time,Male,4.0,BA,Position Title: Quality Improvment Officer (Pharmacist) (Re Announced)
364,North-Zone,National,Health,Full Time,Male,5.0,MD,Position Title: Quality Improvment Officer (Medical Doctor) (Re Announced)
365,Kabul City,National,Business,Full Time,Any,2.0,MA,Position Title: Finance Manager
366,North-Zone,National,Health,Full Time,Female,5.0,BA,Position Title: Quality Improvment Officer (Midwife) (Re Announced)
367,North-Zone,National,Health,Full Time,Female,5.0,MD,Position Title: Quality Improvment Officer (Ob/Gyn Specialist) (Re Announced)
368,Central Highlands,National,Others,Full Time,Any,3.0,HS,Position Title: Field Security Radio Operator
369,Kabul City,National,Others,Full Time,Male,10.0,HS,Position Title: Pastry or Bakery Chief
370,Kabul City,National,Engineering,Full Time,Any,2.0,HS,Position Title: Re: Set Designer
371,Kabul City,National,Others,Full Time,Any,2.0,HS,Position Title: Field Security Assistant
372,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: Finance Assistant
373,Kabul City,National,Health,Full Time,Any,5.0,MD,Position Title: Capacity Building Manager
374,North-East Zone,National,Health,Full Time,Female,1.0,MD,Position Title: Gynecologist
375,Kabul City,National,Business,Full Time,Male,4.0,BA,Position Title: Senior Accountant/ Junior Accountant
376,West Zone,National,Business,Full Time,Any,2.5,BA,Position Title: Monitoring and Evaluation Officer
377,North-East Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Technician
378,Kabul City,Any,Business,Full Time,Any,7.0,MA,Position Title: Organization Development Manager
379,Kabul City,Any,Business,Full Time,Any,7.0,MA,Position Title: Fundraising Specialist /Proposal Writer
380,Kabul City,National,Education,Full Time,Any,3.0,MA,Position Title: Dean of Economics faculty
381,North-Zone,National,Health,Full Time,Any,2.0,MD,Position Title: Project Senior Officer
382,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Engineer I P&S
383,Kabul City,National,IT,Full Time,Any,2.0,BA,Position Title: Engineer VAS Operations
384,East Zone,National,Business,Full Time,Any,2.5,BA,Position Title: Provincial Coordinator
385,East Zone,National,Business,Full Time,Any,5.0,BA,Position Title: M&E Officer
386,East Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Psycho Social Counselor
387,East Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Social Worker
388,East Zone,National,Business,Full Time,Any,2.5,BA,Position Title: Business Counselor
389,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: Liaison Officer
390,East Zone,National,Business,Full Time,Any,2.5,BA,Position Title: Legal Officer
391,East Zone,National,Business,Full Time,Any,1.5,HS,Position Title: Community Mobilizer
392,East Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Procurement Officer
393,Kabul City,National,Business,Full Time,Any,2.5,BA,Position Title: Outreach Officer
394,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Finance Manager
395,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Admin/HR Manager
396,East Zone,National,Health,Full Time,Male,4.0,BA,Position Title: Quality Improvement Officer/ Pharmacist (Re Announced)
397,Kabul City,International,Business,Part Time,Any,10.0,MA,Position Title: Grant Coordinator/Proposal Writer (international) only
398,Kabul City,Any,Business,Part Time,Female,10.0,MA,Position Title: Grant Coordinator/Proposal Writer (Female) only
399,East Zone,National,Health,Full Time,Female,2.5,BA,Position Title: Prostatic and Orthotic technician
400,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Export development Spacialist
401,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Export Policy specialist 
402,West Zone,National,Business,Full Time,Any,1.0,MD,Position Title: Nurse
403,Kabul City,National,Education,Full Time,Female,0.0,BA,Position Title: Pashto and English Teacher
404,Kabul City,National,Others,Full Time,Male,3.5,BA,Position Title: Procurement and Documentation Officer
405,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: F&B Supervisor
406,Kabul City,National,IT,Full Time,Any,3.0,BA,Position Title: Web and Social Media Administrator
407,Kabul City,National,Engineering,Full Time,Male,7.0,BA,Position Title: Proposal Writer ( Civil Engineer )
408,Kabul City,National,Others,Full Time,Male,2.5,BA,Position Title: Medical Representative
409,West Zone,National,Legal,Full Time,Any,3.0,BA,Position Title: Protection Officer
410,Kabul City,National,Business,Full Time,Male,3.0,BA,Position Title: Chief Risk Officer (CRO) (Re Announced)
411,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Deputy Chief Risk Officer (Dy CRO)
412,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Digital Marketer
413,Kabul City,National,Education,Part Time,Any,5.0,BA,Position Title: Instructor 
414,Kabul City,National,Business,Full Time,Male,4.0,MA,Position Title: Taxation Manager
415,Kabul City,National,Education,Full Time,Any,3.0,BA,Position Title: Senior English Trainer (Re Announced)
416,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Senior Financial Institution Officer
417,West Zone,Any,Health,Full Time,Any,7.0,MA,Position Title: Production Manager
418,Kabul City,National,Health,Full Time,Male,10.0,BA,Position Title: Program Director
419,North-Zone,Any,Business,Full Time,Male,3.0,BA,Position Title: Marketing Manager
420,East Zone,National,Engineering,Full Time,Any,2.0,BA,Position Title: Assistant Engineer
421,Kabul City,National,Business,Full Time,Male,15.0,MA,Position Title: Director of Operations (Re Announced)
422,North-Zone,National,Engineering,Full Time,Any,1.0,BA,Position Title: Graphic Designer and video editor
423,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Sales/Marketing Officer
424,North-Zone,National,Agriculture,Full Time,Any,3.0,BA,Position Title: Agribusiness Marketing Officer
425,Kabul City,National,Others,Full Time,Any,7.0,BA,Position Title: Event Manager
426,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Certified Trainers
427,West Zone,National,Others,Full Time,Any,3.0,BA,Position Title: Supply Chain Officer (Procurement)
428,West Zone,National,Business,Full Time,Any,3.0,HS,Position Title: Support Services Assistant for HDP filed camp
429,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Safeguarding Coordinator
430,West Zone,National,Business,Full Time,Any,2.0,BA,"Position Title: Monitoring, Evaluation, Accountability, and Learning Officer (MEAL Officer)"
431,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Data Management Specialist
432,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Data Quality Control Officer
433,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: Data Quality Controllers (DQCs)
434,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Project Officer
435,East Zone,National,Business,Full Time,Any,0.0,BA,Position Title: Administration and Finance Intern
436,Kabul City,National,Business,Full Time,Any,1.5,BA,Position Title: Risk Education Assistant ?Administration? (Female only)
437,Kabul City,National,Business,Full Time,Any,0.0,BA,Position Title: Risk Education Assistant ?Administration? (Female only)
438,East Zone,National,Health,Full Time,Female,1.0,HS,Position Title: Female Cleaner
439,South Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Monitoring and Evaluation (M&E) Officer
440,North-Zone,National,Education,Full Time,Any,5.0,MA,Position Title: Senior Community-based Social Behavior Change (SBC) & Communication Officer
441,South Zone,National,Others,Full Time,Any,0.0,BA,Position Title: Data Entry Intern
442,South Zone,National,Business,Full Time,Any,0.0,BA,Position Title: Administration and Finance Intern
443,South Zone,National,Business,Full Time,Any,2.0,BA,"Position Title: Finance Assistant ""Zabul"" (Re Announced)"
444,West Zone,National,Others,Full Time,Any,0.0,BA,Position Title: Administration and Finance Intern
445,Kabul City,National,Security,Full Time,Any,4.0,MA,"Position Title: Safety, Security and Access Manager"
446,Kabul City,National,Business,Full Time,Any,2.0,MA,Position Title: Finance Manager
447,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: Finance Assistant
448,West Zone,National,Business,Full Time,Any,2.5,BA,Position Title: Monitoring and Evaluation Officer
449,Kabul City,Any,Business,Full Time,Any,7.0,MA,Position Title: Organization Development Manager
450,Kabul City,Any,Business,Full Time,Any,7.0,MA,Position Title: Fundraising Specialist /Proposal Writer
451,Kabul City,National,Education,Full Time,Any,3.0,MA,Position Title: Dean of Economics faculty
